ZIPCODE,STATE,YEAR,share_wages,share_business,share_capital_gains,share_interest,share_dividends,share_unemployment,share_social_security,income_stability_index,income_diversity_index,shock_response_index
52306,IA,2022,0.6086837184567615,0.029386032628274408,0.023604892525689192,0.004854785308699158,0.009109155473212907,0.0019727926166091983,0.04395038855437188,0.10364680212293871,0.6611742427604418,0.04796497460929341
52309,IA,2022,0.7213168996608487,0.0,0.029530978575564564,0.0016543965588551575,0.004053271569195136,0.0,0.04293159070229134,0.052129212078533556,0.4112866330671552,-0.03804224592015386
52310,IA,2022,0.573581758396118,0.027259449623292045,0.1124058230111097,0.01132119141872047,0.02241093091559188,0.0018436342740390755,0.04514110586132039,0.09271962162688874,0.9658238608797827,0.0422574656790275
52313,IA,2022,0.6462727960332801,0.005798806622405244,0.0060509286494663415,0.0029414236490461383,0.005042440541221951,0.0,0.05403815446676191,0.10223461169586112,0.4276496817596561,0.12365702495044184
52314,IA,2022,0.645824983863551,0.023152112925612024,0.04171430258900359,0.006378643357056374,0.02399584881940255,0.0015693487624503777,0.046764061913339885,0.07751932795486469,0.7480339396495489,-0.040591164145808635
52315,IA,2022,0.6777586781948328,0.006208789799112297,0.03478974779998461,0.0070041306411473435,0.007055442953536701,0.0,0.05090181389024297,0.05630621937493554,0.5643583104863487,-0.02349787799187593
52316,IA,2022,0.6382841407796231,0.030999913948885637,0.019684192410291713,0.004625247396953791,0.0057439118836588934,0.002409431202134068,0.05515876430599776,0.05266925860350707,0.646867920751722,0.10802022376402078
52317,IA,2022,0.7782563835731454,0.02706865611631599,0.02535986589840089,0.005045562811836969,0.014103924797463028,0.0010771094049487906,0.023224370856750363,0.10052726355690526,0.514725173559671,0.029947125634143437
52318,IA,2022,0.6318163649860103,0.01664477816479187,0.007879860674927196,0.0070233540798264145,0.006281048364072403,0.0,0.04339633415177297,0.08924683275033521,0.5022152598289267,0.07961408723631701
52320,IA,2022,0.7368232807673549,0.012680864900016258,0.0037067143553893675,0.0019834173305153632,0.0013981466428223052,0.006633067793854658,0.03797756462363843,0.05642895893030831,0.37768613743031354,0.0539325883767248
52321,IA,2022,0.748033948454411,0.017986451763606633,0.027563653352020556,0.001635131978509694,0.003348127384567469,0.0,0.026629292221443588,0.09888286658402987,0.43140727607208507,0.0020817741712197487
52322,IA,2022,0.6476645087706329,0.02169160743893295,0.038831567942043066,0.009684130487585938,0.017287809823531276,0.002175497143339916,0.053289119346083574,0.26256484606852815,0.7455782311164225,0.05450425363832737
